DATAFLOW,LAST UPDATE,freq,nabs07,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,CZ,2019-01-01,1.07,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,DE,2019-01-01,4.35,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,DK,2019-01-01,0.32,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EA20,2019-01-01,,,C
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EA21,2019-01-01,,,C
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EE,2019-01-01,1.74,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EL,2019-01-01,1.55,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,ES,2019-01-01,1.49,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EU27_2020,2019-01-01,,,C
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,FI,2019-01-01,2.47,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,FR,2019-01-01,1.37,e,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,HR,2019-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,HU,2019-01-01,0.03,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,IE,2019-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,IS,2019-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,IT,2019-01-01,0.59,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,JP,2019-01-01,2.25,dp,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,KR,2019-01-01,16.29,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,LT,2019-01-01,0.27,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,LU,2019-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,LV,2019-01-01,,,C
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,MT,2019-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,NL,2019-01-01,1.25,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,NO,2019-01-01,3.0,b,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,PL,2019-01-01,4.69,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,PT,2019-01-01,0.29,,
