DATAFLOW,LAST UPDATE,freq,sex,isced11,iscedf13,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,RO,2019-01-01,42.7,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,RS,2019-01-01,42.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,SE,2019-01-01,35.9,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,SI,2019-01-01,32.7,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,SK,2019-01-01,34.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,TR,2019-01-01,34.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,UK,2019-01-01,40.5,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,AT,2020-01-01,26.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,BA,2020-01-01,46.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,BE,2020-01-01,26.4,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,BG,2020-01-01,36.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,CH,2020-01-01,24.7,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,CY,2020-01-01,34.8,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,CZ,2020-01-01,36.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,DE,2020-01-01,26.8,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,DK,2020-01-01,32.8,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,EE,2020-01-01,41.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,EL,2020-01-01,41.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,ES,2020-01-01,29.0,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,EU27_2020,2020-01-01,32.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,FI,2020-01-01,29.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,FR,2020-01-01,31.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,HR,2020-01-01,38.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,HU,2020-01-01,28.6,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IE,2020-01-01,32.2,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IS,2020-01-01,38.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IT,2020-01-01,38.9,p,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LI,2020-01-01,53.2,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LT,2020-01-01,30.7,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LU,2020-01-01,29.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LV,2020-01-01,30.9,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,ME,2020-01-01,,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,MK,2020-01-01,50.1,,
