DATAFLOW,LAST UPDATE,freq,int_rt,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2017-07-01,0.46,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2017-07-01,2.23,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2017-08-01,0.35,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2017-08-01,2.11,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2017-09-01,0.35,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2017-09-01,2.11,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2017-10-01,0.37,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2017-10-01,2.07,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2017-11-01,0.31,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2017-11-01,1.79,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2017-12-01,0.3,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2017-12-01,1.8,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2018-01-01,0.47,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2018-01-01,1.98,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2018-02-01,0.66,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2018-02-01,2.08,,
